budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
12.7,49.196532,100,59,"History,Drama,War,Action",John H. Lee,2016,8,12,4,111,Operation Chromite,https://www.themoviedb.org/movie/407887
112.0,237.382724,100,52,"Family,Comedy,Adventure,Fantasy",Rob Letterman,2010,12,25,5,85,Gulliver's Travels,https://www.themoviedb.org/movie/38745
9.0,39.723096,100,82,"Mystery,Thriller",Christopher Nolan,2001,3,16,4,113,Memento,https://www.themoviedb.org/movie/77
nan,4.571025,100,74,"Thriller,Animation,Action,Crime",Jay Oliva,2014,8,12,1,75,Batman: Assault on Arkham,https://www.themoviedb.org/movie/242643
2.0,78.898765,100,71,"Action,Thriller,Adventure",Terence Young,1964,5,27,2,115,From Russia with Love,https://www.themoviedb.org/movie/657
nan,nan,93,58,"Action,Family,Science Fiction",Alex Winter,2008,2,11,0,67,Ben 10: Race Against Time,https://www.themoviedb.org/movie/16000
45.0,104.876233,100,75,"Action,Crime,Drama,Thriller",Antoine Fuqua,2001,10,5,4,122,Training Day,https://www.themoviedb.org/movie/2034
68.0,55.00389,100,53,"Comedy,Drama,Science Fiction",Alexander Payne,2018,1,12,4,135,Downsizing,https://www.themoviedb.org/movie/301337
nan,nan,100,68,"Animation,Action,Science Fiction",Hiroshi Fukutomi,1993,6,21,0,54,Battle Angel,https://www.themoviedb.org/movie/17189
25.0,65.663276,100,75,"Romance,Fantasy,Drama",J. Mills Goodloe,2015,4,24,4,112,The Age of Adaline,https://www.themoviedb.org/movie/293863
nan,nan,50,20,,unknown,2018,1,25,3,80,극장판 레이디버그: 미라클 스톤의 비밀,https://www.themoviedb.org/movie/447377
3.5,nan,100,72,"Science Fiction,Action,Animation",Jay Oliva,2016,3,22,1,72,Batman: Bad Blood,https://www.themoviedb.org/movie/366924
nan,nan,100,68,"Adventure,Comedy,Fantasy",Raman Hui,2018,2,16,4,110,Monster Hunt 2,https://www.themoviedb.org/movie/497984
